string_offset_hex,string_len,path,prev_marker_hex,marker_to_string_dist,tag,pre24_hex,last12_hex,cand_u32_a_hex,cand_u32_b_hex,trail_u16_a_hex,trail_u16_b_hex,extension
0x14427,6,18.PSB,0x143ce,89,l,4c874c006243989b312c02f4228cfaa036760031388ce80e,228cfaa036760031388ce80e,0xa0fa8c22,0x31007636,0x8c38,0xee8,PSB
0x14725,5,"A""\ l",0x14703,34,l,1331ec00cc10df5d53325c4d9945227c3c2814020148ddb0,9945227c3c2814020148ddb0,0x7c224599,0x214283c,0x4801,0xb0dd,
0x14943,5,F~\:l,0x148c2,129,l,0d544922043a0753494d504c45424f582e24dc28024455ed,45424f582e24dc28024455ed,0x584f4245,0x28dc242e,0x4402,0xed55,
0x14a8d,4,.BSP,0x14a53,58,l,5c6d14006e0004a237dc089c3dfc6a242c25b4012424330b,3dfc6a242c25b4012424330b,0x246afc3d,0x1b4252c,0x2424,0xb33,BSP
0x14ab8,5,Gv\al,0x14a99,31,l,5d001cee315c0227bc20034d4547414e452aec3202059e8e,4547414e452aec3202059e8e,0x4e414745,0x32ec2a45,0x502,0x8e9e,
0x14ef9,8,_022.GXI,0x14e73,134,l,4441544150534d5c464f4e54535c4d52414c4c5945fc000f,535c4d52414c4c5945fc000f,0x524d5c53,0x594c4c41,0xfc45,0xf00,GXI
0x14f59,17,"TURKEY_S2_FLIP\,8",0x14f09,80,l,6969ffc55f47a9c828006c0004603260003c165f373c010c,04603260003c165f373c010c,0x60326004,0x5f163c00,0x3c37,0xc01,
0x14f6c,4,.PSM,0x14f09,99,l,5f373c010c5455524b45595f53325f464c49505c2c38000c,53325f464c49505c2c38000c,0x465f3253,0x5c50494c,0x382c,0xc00,PSM
0x15757,5,6.PSB,0x15746,17,l,05880ed047d42000006c00032c7a5e0080e73c6c03ec3e0d,2c7a5e0080e73c6c03ec3e0d,0x5e7a2c,0x6c3ce780,0xec03,0xd3e,PSB
0x15922,15,OBJECTS\DINGHYS,0x158ea,56,n,04695c0670644c0003d8d75f005c0abcac2b5c1e9c650008,005c0abcac2b5c1e9c650008,0xbc0a5c00,0x1e5c2bac,0x659c,0x800,
0x15cea,5,fmS\t,0x15cdc,14,l,284003052844d647590c00006c000384c95e00306f312c02,6c000384c95e00306f312c02,0x8403006c,0x30005ec9,0x316f,0x22c,
0x15edd,12,SMALLCARS\'$,0x15ed0,13,n,11086969698c1ff0472f2800006e00acba4d86073e7c0307,006e00acba4d86073e7c0307,0xac006e00,0x7864dba,0x7c3e,0x703,
0x15f25,10,YE_012.GXI,0x15ed0,85,n,414c4c59455c4d52414c4c11000049100000691000000002,000049100000691000000002,0x10490000,0x10690000,0x0,0x200,GXI
0x15fcb,15,FMV\CHALL04.PSS,0x15f82,73,l,2f4ae13204c05d006c000684805f00e4f85e00017c120009,805f00e4f85e00017c120009,0xe4005f80,0x1005ef8,0x127c,0x900,PSS
0x15ff4,24,VEHICLES\BRUNO\WHEEL.PSM,0x15fe4,16,l,6969e03d3248c61e00006c0003b86b5e008c44310c030011,03b86b5e008c44310c030011,0x5e6bb803,0x31448c00,0x30c,0x1100,PSM
0x16522,4,.XML,0x164fd,37,l,010b5343454e455c524143455445535425ad24572214200a,5445535425ad24572214200a,0x54534554,0x5724ad25,0x1422,0xa20,XML
0x169be,4,>\{N,0x16975,73,n,5f4d5c47524153535f223f225f4c4628b01103f2c6733eea,5f4c4628b01103f2c6733eea,0x28464c5f,0xf20311b0,0x73c6,0xea3e,
0x169d7,5,"@""\Ln",0x16975,98,n,5c7b4e001064354c182bac0724883d28a40703696942aeeb,24883d28a40703696942aeeb,0x283d8824,0x690307a4,0x4269,0xebae,
0x16a2c,15,CUPS\TROPHYROO*,0x16a19,19,l,8beb47462e00006c000334be5c001059314c0de4509cdd0b,5c001059314c0de4509cdd0b,0x5910005c,0xe40d4c31,0x9c50,0xbdd,
0x16bd3,7,.vEN\-l,0x16bb3,32,l,0058012d2c03bc56e46b2a6c17e4a4222d2b33d8bb0369a4,17e4a4222d2b33d8bb0369a4,0x22a4e417,0xd8332b2d,0x3bb,0xa469,vEN\-l
0x16e60,4,"$\""w",0x16e52,14,l,274c04059f8cd6477f0800006c000350206000a885313c03,6c000350206000a885313c03,0x5003006c,0xa8006020,0x3185,0x33c,
0x16e65,4,16\x,0x16e52,19,l,8cd6477f0800006c000350206000a885313c03245c227700,6000a885313c03245c227700,0x85a80060,0x24033c31,0x225c,0x77,
0x16f01,4,.BSP,0x16ea8,89,l,13006c00031c105d00280a313c0ecc2c8f9e5f575cdc0007,3c0ecc2c8f9e5f575cdc0007,0x2ccc0e3c,0x575f9e8f,0xdc5c,0x700,BSP
0x16f4c,5,"?U\""l",0x16f2f,29,n,9f20034e234d318d1947229c2e224c2c2788070369f63307,2e224c2c2788070369f63307,0x2c4c222e,0x3078827,0xf669,0x733,
0x16f96,22,EXTURES\RMLGS1-TGA.GXI,0x16f6f,39,l,50534d5c434f4d4d4f4e5411000069100000da100000000e,000069100000da100000000e,0x10690000,0x10da0000,0x0,0xe00,GXI
0x1773a,4,.PSB,0x17718,34,l,8731bc152bec060a425554544f4e535c54494c4544b0010c,4f4e535c54494c4544b0010c,0x5c534e4f,0x454c4954,0xb044,0xc01,PSB
0x17965,6,S1.BSP,0x17930,53,l,c83e74ef13008d005d4d29a6330c018c68ac3b7c80a4010d,330c018c68ac3b7c80a4010d,0x8c010c33,0x7c3bac68,0xa480,0xd01,BSP
0x17b34,6,S2.XML,0x17b17,29,l,8866600090fa2dfc04ac780652414345544553545c9c4f0c,52414345544553545c9c4f0c,0x45434152,0x54534554,0x9c5c,0xc4f,XML
0x17b71,5,#1\'$,0x17b41,48,l,250669bc3fc046ea0c2b006c000318aa5e001869381c01fe,000318aa5e001869381c01fe,0xaa180300,0x6918005e,0x1c38,0xfe01,
0x17b78,4,.PSM,0x17b41,55,l,ea0c2b006c000318aa5e001869381c01fe23315c2724000a,69381c01fe23315c2724000a,0x11c3869,0x5c3123fe,0x2427,0xa00,PSM
0x17b96,4,16\x,0x17b83,19,l,5ad647400b00006c0003d8596000347a310c0124bc3b7700,6000347a310c0124bc3b7700,0x7a340060,0x24010c31,0x3bbc,0x77,
0x18078,10,10_000.GXI,0x18028,80,l,49414c31305c415249414c110000da1000001f1000000002,0000da1000001f1000000002,0x10da0000,0x101f0000,0x0,0x200,GXI
0x182d0,6,M1.CFL,0x18287,73,l,ac215e0024f72d3c02085343454e455c49434f4e54a0510f,454e455c49434f4e54a0510f,0x5c454e45,0x4e4f4349,0xa054,0xf51,CFL
0x185aa,14,FMV\BAGOO3.PSS,0x18559,81,l,1d05164edd30040039006c0004004e600010eb5dace80005,04004e600010eb5dace80005,0x604e0004,0x5deb1000,0xe8ac,0x500,PSS
0x1868f,16,\TERRANO\CAR.PSM,0x1864a,69,l,700b05ee0a9248e49a01006c00621bc87e317c04f8a40009,00621bc87e317c04f8a40009,0xc81b6200,0x47c317e,0xa4f8,0x900,PSM
0x18751,4,.BSP,0x1871e,51,l,04052884064676f116006e00184a3c3c03be4e335cdc000a,184a3c3c03be4e335cdc000a,0x3c3c4a18,0x334ebe03,0xdc5c,0xa00,BSP
