record_offset,sig8,body_prefix,pos008,pos014,pos01c,pos020,pos024,pos028,pos088,pos094,pos0a4,pos148,pos164
406018223,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969,3729924980,4153118172
406200020,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855,2543439614,3351341056
406530619,0000010c43fc9ae9,7321,1390485875,762133789,147321183,3032363422,3863452199,1228079772,3967065300,1636762304,10376199,1110221111,1349277083
406885721,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141,923185848,1047328109
407621462,0000010c43fc9ae9,7321,1390485875,4152684473,4244879610,1312425936,3218342625,2863723526,2977395544,63968575,773127104,289859142,1866619070
407683168,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,4472320,3698977602,916183762,3310802038
408019746,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445,2032895948,220436430
408836794,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,436233383,571046676,2288979214,776327801,909298539
409743158,0000010c43fc9ae9,7321,1390485875,1465637498,407872627,4245837791,70811129,2926463594,323122746,2231164,361560150,1277100032,167805946
409993454,0000010c43fc9ae9,7321,1390485875,2126702556,4211577077,2633239968,4233235428,2864894491,273411293,260050752,2011085392,1844014090,3652541404
410857362,0000010c43fc9ae9,7321,1390485875,4152668089,2130688446,2474588544,3734295699,928126358,2105746934,17470,997154088,3415519765,2112409655
411334229,0000010c43fc9ae9,7321,1390485875,1608153826,84395795,2943306712,2124739579,1232585065,731006092,9536529,2767771142,3647698900,2552170678
411777399,0000010c43fc9ae9,7321,1390485875,3993624435,3995058389,2010265984,4171568648,1418044727,4134407851,12247559,2962213895,3064863723,2871725778
411870225,0000010c43fc9ae9,7321,1390485875,2126698460,3995009238,4003739520,4031458576,1377127023,1273814300,1148977338,2626202072,1521048428,1885721762
412315973,0000010c43fc9ae9,7321,1390485875,1835658121,1016188641,1264352611,3253324783,2926463594,3750006941,226511042,1462813879,2037085365,3969101746
412745385,0000010c43fc9ae9,7321,1390485875,4152676281,1962926074,2633812737,939042206,2371126693,3239213879,520101760,4139546017,3056943810,1289910503
413350229,0000010c43fc9ae9,7321,1390485875,1267142695,1904738114,4207310882,2548013008,2496955091,306345530,546484295,2230900448,3163925780,3323328232
414372618,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969,1512670318,913448798
414579028,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855,1261682807,1528202386
415097664,0000010c43fc9ae9,7321,1390485875,3035985068,3250712853,3184998262,876598009,1251611104,2708671133,2441362698,2289020263,3157878059,3167098358
415327022,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141,4275219838,1320614582
416120965,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,574897664,2970577998,1080723948,1288465777
416477897,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445,967546307,3502793319
417292210,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,2097202231,3562782265,1636762304,25852331,2059364286
525855700,0000010c43fc9ae9,7321,1390485875,4241683877,421932026,1055726563,886042620,635245024,4088380457,2383936821,731576268,4212867293,925199636
526308935,0000010c43fc9ae9,7321,1390485875,1032059387,3970766360,1558100056,2950477610,4122840372,2571118124,3160916736,4057422073,3042596984,3674415035
534331272,0000010c43fc9ae9,7321,1390485875,4241683877,421932026,1055726563,886042620,635245024,4088380457,2383936821,731576268,2409160424,142676791
534787259,0000010c43fc9ae9,7321,1390485875,4094486127,2981583456,1507768417,2045099733,1457482660,70947941,1041958480,2914117259,2613566827,3734698090
811573742,0000010c43fc9ae9,7321,1390485875,4171580296,3737246991,632995377,3774146039,3561834931,402739325,1178634523,1156816569,3705466275,829361506
811769458,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969,3729924980,4153118172
811950391,0000010c43fc9ae9,7321,1390485875,4178141043,3128885337,3460947712,925218112,2371126693,3577694956,115344352,3083836855,2543439614,3351341056
812279453,0000010c43fc9ae9,7321,1390485875,762133789,147321183,3032363422,3863452199,1228079772,3967065300,1636762304,1802557447,3131919859,3691512676
812418275,0000010c43fc9ae9,7321,1390485875,3035985068,3250712853,3184998262,876598009,1251611104,144528360,2284121169,1115450173,1267823838,3853619643
812633042,0000010c43fc9ae9,7321,1390485875,4152676281,4210943994,1325327616,2052280911,3695727960,4111308472,33030392,3983796141,923185848,1047328109
813365276,0000010c43fc9ae9,7321,1390485875,4152684473,4244879610,1312425936,3218342625,2863723526,2977395544,63968575,773127104,289859142,1866619070
813426705,0000010c43fc9ae9,7321,1390485875,2126702556,3995009238,4003739520,4031458576,2836024175,2200303214,4472320,3698977602,1233546894,1512729546
813761605,0000010c43fc9ae9,7321,1390485875,1777043923,2446254527,1551721276,3922456395,1397892032,1178781774,4461302,85835445,2032895948,220436430
814574699,0000010c43fc9ae9,7321,1390485875,2534285646,3792633733,4119720260,801058721,698942887,436233383,571046676,2288979214,776327801,909298539
815475919,0000010c43fc9ae9,7321,1390485875,1465637498,407872627,4245837791,70811129,2926463594,323122746,2231164,361560150,2562478517,3467449522
815724238,0000010c43fc9ae9,7321,1390485875,2126702556,4211577077,2633239968,4233235428,2864894491,273411293,260050752,2011085392,1844014090,3652541404
816158971,0000010c43fc9ae9,7321,1390485875,2821549373,2015553520,2664495814,1895468660,3953566809,153172765,273275043,3780844316,1846195305,2381363163
816323184,0000010c43fc9ae9,7321,1390485875,1541044962,2970291854,3471818174,11008401,1968427660,2228238725,2152251934,3239108442,1766407791,1696838588
816581985,0000010c43fc9ae9,7321,1390485875,4152668089,2130688446,2474588544,3734295699,928126358,2105746934,4063294,2671472477,953767351,647720398
817055022,0000010c43fc9ae9,7321,1390485875,1608153826,84395795,2943306712,2124739579,1232585065,731006092,9536529,2767771142,3647698900,2552170678
817494638,0000010c43fc9ae9,7321,1390485875,3993624435,3995058389,2010265984,4171568648,1418044727,4134407851,12247559,1118900076,1832227469,2378177483
817586776,0000010c43fc9ae9,7321,1390485875,2126698460,3995009238,4003739520,4031458576,1377127023,1273814300,8126650,4090922338,2849354533,1194739649
818028930,0000010c43fc9ae9,7321,1390485875,1835658121,1016188641,1264352611,3253324783,2926463594,3750006941,226511042,1462813879,2037085365,3969101746
818455121,0000010c43fc9ae9,7321,1390485875,4152676281,1962926074,2633812737,939042206,2371126693,3239213879,520101760,4139546017,3056943810,1289910503
819055472,0000010c43fc9ae9,7321,1390485875,1267142695,1904738114,4207310882,2548013008,2496955091,306345530,546484295,2230900448,3163925780,3323328232
819315771,0000010c43fc9ae9,7321,1390485875,2776351479,4252893275,671052288,3173624103,1856252460,392333757,4026658817,1944562955,2427261128,3204704380
819879816,0000010c43fc9ae9,7321,1390485875,4171580296,3737246991,632995377,3774146039,3561834931,587246191,136868099,1759392599,3740119878,2456148035
820084471,0000010c43fc9ae9,7321,1390485875,1541044794,866415608,3302307782,1314881215,3717477387,3360606025,1686212354,3797674969,1512670318,913448798
