table_off_hex,target_off_hex,control_hex,nearest_marker_hex,nearest_marker_dist,nearest_marker_tag,nearest_path_hex,nearest_path_dist,nearest_path
0x518,0x6075,0x0,0x6081,12,n,0x60b7,66,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x51c,0x5fde,0x8800,0x5fcf,15,l,0x60b7,217,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x528,0x9cc4,0x5f,0x9cc3,1,n,0x9f0e,586,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x52c,0x43b0,0x5e,0x43a3,13,n,0x4279,311,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x534,0x84f8,0x60,0x8514,28,n,0x8150,936,S\PS2\OPTIONS.XML
0x538,0xa3c0,0x5e,0xa3d1,17,l,0x9f8c,1076,VEHICLES\JUMP\WHEEL.PSM
0x53c,0x534c,0x385d,0x5358,12,n,0x5422,214,FMV\FUJ3.PSS
0x540,0xad9d,0x943d,0xadb3,22,l,0xaf03,358,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x548,0x6b5c,0x300,0x6b4e,14,n,0x6d35,473,FMV\GO2.PSS
0x54c,0x5f08,0x5400,0x5ec4,68,n,0x60b7,431,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x550,0x5f9d,0xf400,0x5fa4,7,l,0x60b7,282,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x554,0x6022,0x2800,0x601a,8,n,0x60b7,149,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x558,0x5e13,0x5800,0x5e20,13,n,0x60b7,676,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x55c,0x6075,0xc00,0x6081,12,n,0x60b7,66,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x560,0x4c11,0x5c25,0x4c19,8,n,0x516a,1369,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x570,0x9c04,0xf5e,0x9bf5,15,l,0x9f0e,778,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x574,0x44ec,0xb5c,0x44f0,4,n,0x4279,627,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x578,0x900d,0x5f,0x9019,12,o,0x8f8e,127,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x57c,0x4410,0x60,0x441a,10,n,0x4279,407,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x580,0x232c,0x60,0x2332,6,n,0x2623,759,SPAIN_S1\ROAD1A-TGA.GXI
0x584,0x2480,0x5f,0x2481,1,n,0x2623,419,SPAIN_S1\ROAD1A-TGA.GXI
0x588,0x4ce4,0xa0a,0x4cb1,51,n,0x516a,1158,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
