start,end,size,shape,tags,count
503712621,503712663,42,mixed,BX91|BXBa,2
503727024,503727066,42,mixed,BX91|BXBa,2
503755643,503755648,5,mixed,BX{,1
503783732,503784018,286,mixed,BX*Hd|BX91|BX{,3
503792826,503792865,39,mixed,BX*Hd|BX91,2
503815024,503815095,71,mixed,BX*Hd|BXBa,2
503824200,503824271,71,mixed,BX*Hd|BX91|BXBa,3
503845203,503845245,42,mixed,BX91|BXA0,2
503853529,503853568,39,mixed,BX91|BXA0,2
503878199,503878204,5,mixed,BX{,1
503885441,503885446,5,mixed,BX{,1
503901340,503901411,71,primary_chain_no4,BX*Hd|BX91|BXA0,3
503918249,503918364,115,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
503934948,503935034,86,mixed,BX91|BXA0|BXT,3
503957457,503957569,112,mixed,BX91|BXA0|BX{,3
503970523,503970628,105,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
503983454,503983535,81,mixed,BX91|BXA0|BXI1,3
503997582,503997652,70,mixed,BX91|BXA0|BXI1,3
504001186,504001191,5,mixed,BXI1,1
504019461,504019548,87,mixed,BX91|BXA0|BX{,3
504045189,504045290,101,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
504056658,504056762,104,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
504068906,504069013,107,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
504088813,504088851,38,mixed,BX91|BXA0,2
504092520,504092525,5,mixed,BX91,1
504101905,504101975,70,primary_chain_no4,BX*Hd|BX91|BXA0,3
504105468,504105473,5,mixed,BXQ,1
504115223,504115228,5,mixed,BX91,1
504119117,504119266,149,primary_chain,BX*Hd|BX91|BXA0|BXI1|BXQ,5
504129651,504129723,72,primary_chain_no4,BX*Hd|BX91|BXA0,3
504151665,504151705,40,mixed,BX91|BX{,2
504230935,504230940,5,mixed,BX91,1
504244056,504244061,5,mixed,BX91,1
504257787,504257792,5,mixed,BX91,1
504307732,504307737,5,mixed,BX91,1
504317277,504317282,5,mixed,BXQ,1
504351556,504351592,36,mixed,BX91|BXA0,2
504354959,504354964,5,mixed,BXU,1
504364635,504364640,5,mixed,BX91,1
504368401,504368406,5,mixed,BXU,1
504378674,504378788,114,mixed,BX*Hd|BXA0|BXT,3
504382322,504382327,5,mixed,BXA0,1
504400867,504400872,5,mixed,BX{,1
504404398,504404403,5,mixed,BX{,1
504413810,504413815,5,mixed,BXA0,1
504416996,504417084,88,mixed,BX91|BXA0|BXI1,3
504426546,504426551,5,mixed,BX91,1
504430038,504430043,5,mixed,BXI1,1
504439525,504439530,5,mixed,BX91,1
504461471,504461476,5,mixed,BXU,1
504465011,504465016,5,mixed,BXU,1
504473908,504473994,86,primary_chain_no4,BX*Hd|BX91|BXA0,3
504486066,504486071,5,mixed,BX*Hd,1
504489368,504489490,122,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
504498273,504498384,111,primary_chain,BX*Hd|BX91|BXA0|BXI1,4
504519833,504519838,5,mixed,BX{,1
504522883,504522888,5,mixed,BX{,1
504531065,504531137,72,mixed,BX91|BXA0|BXI1,3
504542088,504542181,93,mixed,BX91|BXA0|BXI1,3
504553529,504553565,36,mixed,BXA0|BXI1,2
504556540,504556581,41,mixed,BXA0|BXI1,2
504585648,504585684,36,mixed,BX91|BXA0,2
504588478,504588516,38,mixed,BX91|BXA0,2
504597670,504597706,36,mixed,BX91|BXA0,2
504611625,504611702,77,mixed,BX91|BXA0|BXI1,3
